timestamp,open,high,low,close,volume
1783324800000,63064.5,63226.4,62461.4,62461.4,27610.107
1783339200000,62461.2,63531.1,61297,63523.1,105736.056
1783353600000,63523,63977.9,63356.8,63709.8,40689.156
1783368000000,63709.9,64691.9,63560,64023.6,28521.431
1783382400000,64023.5,64298.1,63122,63165,29622.934
1783396800000,63164.9,63424.2,62745.6,63062.6,27393.375
1783411200000,63062.7,63432.8,62958.4,63377.7,16329.871
1783425600000,63377.8,64096,62638,63910,60232.809
1783440000000,63910,64234.1,63351.4,63794.9,28687.049
1783454400000,63794.9,63874.6,63177,63335.4,14939.8
1783468800000,63335.4,63740.2,62466.9,62741,28854.967
1783483200000,62741,62873.3,62434.9,62854.1,17957.731
1783497600000,62854.1,62921.8,61708.2,62270,45949.73
1783512000000,62270,62394.1,61520,61674.5,39109.532
1783526400000,61674.6,62372.7,61666,62251.9,20257.62
1783540800000,62251.9,62331.8,61926.9,62255.3,10966.145
1783555200000,62255.1,62620.2,61666,61943.1,21786.361
1783569600000,61943.2,63286.5,61929,62973.7,35632.474
1783584000000,62973.6,63083.9,62583.4,62756,16875.277
1783598400000,62755.9,63233,62428.5,62835.4,43030.522
1783612800000,62835.4,63484.9,62525.2,63222.9,23833.334
1783627200000,63222.9,63395.9,63032.2,63197,9696.325
1783641600000,63197.1,64022,62897,63917.2,28582.709
1783656000000,63917.3,64185,63765.5,63956.1,19716.772
1783670400000,63956.1,64478.3,63949.1,64394.2,27561.937
1783684800000,64394.2,64680,63768,64018.7,35094.942
1783699200000,64018.7,64208.1,63718.1,63900.4,13676.986
1783713600000,63900.4,64176.9,63619.9,64129.5,14154.711
1783728000000,64129.5,64288.7,63950.1,64117.2,7282.145
1783742400000,64117.2,64250,64047.2,64132.6,5329.112
1783756800000,64132.6,64280,64110.2,64176,5002.728
1783771200000,64176.1,64497.4,63668.8,64139,18675.921
1783785600000,64139.1,64375.8,64050.4,64262,6780.216
1783800000000,64261.9,64438.9,63776,63783,10604.773
1783814400000,63783.1,64217.8,63657.4,64201.8,12186.54
1783828800000,64201.9,64238,63602.8,63856.4,11313.903
1783843200000,63856.4,64083.7,63730.7,63993.8,8689.953
1783857600000,63993.8,64271.9,63928,64149.9,9372.897
1783872000000,64150,64248,63983.1,64201.9,6633.117
1783886400000,64202,64227.4,63634.1,63750,11895.536
1783900800000,63749.9,64411.8,62705,62780.2,52443.621
1783915200000,62780.1,63030,62434.9,62952.7,24227.324
1783929600000,62952.8,63260,62834.4,62881.3,22997.462
1783944000000,62881.4,62970.7,62061.3,62596.6,52068.169
1783958400000,62596.7,62614.5,61806,62258,28856.64
1783972800000,62257.9,62333.4,61854.5,62307,15189.007
1783987200000,62307,62639.3,62240.9,62538.2,15779.623
1784001600000,62538.3,62848,62489.7,62529.7,12956.51
1784016000000,62529.7,62896,62458.3,62810.3,11932.483
1784030400000,62810.3,64950,62756.5,64727.5,99608.666
1784044800000,64727.4,64879,64200,64543,27810.776
1784059200000,64543.1,65130,64390.4,65014.7,22787.125
1784073600000,65014.6,65043.3,64456.7,64760.8,14011.588
1784088000000,64760.9,65260,64450.9,64528,20381.848
1784102400000,64528,64899.9,64528,64707.5,11520.12
1784116800000,64707.4,65589.7,64568.8,65391.6,48445.138
1784131200000,65391.5,65438,64708,64942,30103.535
1784145600000,64942.1,65030.5,64660,64721.4,7761.385
1784160000000,64721.4,64814.7,64362.2,64593,13463.314
1784174400000,64593,64974.5,64005.6,64200,23983.759
1784188800000,64200.1,64340,63843.1,64226.6,23564.869
1784203200000,64226.6,64874.7,63833,64677.7,38698.036
1784217600000,64677.7,64687.6,63958,64241.6,18183.263
1784232000000,64241.7,64249.9,63712.6,63801,12576.221
1784246400000,63801.1,64041.6,63358,63538.1,23701.404
1784260800000,63538,63560,62655,62792.9,36223.336
1784275200000,62792.8,63337.4,62611,63273.2,20640.395
1784289600000,63273.1,63496,62505.1,63432.4,42264.1
1784304000000,63432.4,64356.7,63272.4,64121.4,34857.577
1784318400000,64121.4,64188.2,63860,63909.9,8166.001
1784332800000,63909.9,64014.9,63859.6,63989.5,5338.834
1784347200000,63989.5,64000,63894.3,63980.1,4328.088
1784361600000,63980,64073.2,63912,64033.3,4092.098
1784376000000,64033.2,64237.7,63925.2,64090,9810.671
1784390400000,64090,64666,64054.5,64526.3,15262.257
1784404800000,64526.4,64837.4,64467.2,64806.7,10394.79
1784419200000,64806.7,64948.8,64594.6,64686.8,13515.109
1784433600000,64686.8,64789.8,64580.4,64692.2,5846.715
1784448000000,64692.1,64723.5,64415,64445.7,10691.7
1784462400000,64445.7,64633,64259.5,64545.2,11251.478
1784476800000,64545.3,64733,64262.9,64438.1,9954.822
1784491200000,64438.1,64874.9,64305,64694.7,11535.206
1784505600000,64694.8,65084.6,64380,64839.4,22717.146
1784520000000,64839.3,64843.4,63736.1,64250,27903.419
1784534400000,64250,65048.3,63858.1,64970.8,27733.431
1784548800000,64970.8,65688,64034.3,65570.1,54262.291
1784563200000,65570.1,65788,65011.4,65119.3,35972.663
1784577600000,65119.3,65435.3,65030.2,65224.8,10917.197
1784592000000,65224.7,65634.4,65115.3,65539.5,15057.371
1784606400000,65539.5,66240,65453.5,66166.9,27187.741
1784620800000,66166.8,66390,66103.4,66317.9,22965.054
1784635200000,66317.9,66924.1,66236,66648.5,39564.704
1784649600000,66648.5,66736.7,65939,66409.5,24712.174
1784664000000,66409.5,66544.8,66172,66522.4,9407.871
1784678400000,66522.3,66711,66141.7,66176.7,13801.058
1784692800000,66176.6,66399,65668.6,65813.4,22194.384
1784707200000,65813.4,66140.5,65813.4,65981.4,19352.095
1784721600000,65981.3,66190.4,65505,66014.8,33898.686
1784736000000,66014.8,66363.6,65650.2,65891.1,19116.49
1784750400000,65891.2,66116.5,65753,66082,8447.902
1784764800000,66082,66284.1,65548,65626.8,16744.203
1784779200000,65626.7,65793.7,65313.7,65405.3,15598.473
1784793600000,65405.3,65756.6,65383.6,65525.4,11821.586
1784808000000,65525.4,65557.8,64696.2,64940.4,51499.187
1784822400000,64940.4,64940.5,64636,64820.7,15984.685
1784836800000,64820.7,65193.5,64809.7,65069.6,13119.644
1784851200000,65069.6,65436.8,64733.2,65425.4,18271.087
1784865600000,65425.5,65780,65213,65470,22156.361
1784880000000,65470.1,65477.2,64821.9,65045.7,18685.368
1784894400000,65045.7,65110.1,63666,64065.1,67797.363
1784908800000,64065.1,64266.9,63854.3,64199.5,14675.634
1784923200000,64199.5,64260.1,64098.7,64116.5,5951.659
1784937600000,64116.5,64155,63977,64052.9,11227.005
1784952000000,64053,64181,63933.2,63972.9,5992.315
1784966400000,63973,64078.5,63760.5,64031.3,8693.02
1784980800000,64031.2,64243.6,64006.2,64150,7467.034
1784995200000,64150.1,64417.1,64092.2,64359.6,8274.357
1785009600000,64359.7,64407.1,64233,64338.1,4593.903
1785024000000,64338,64553.9,64317.9,64518.8,6207.268
1785038400000,64518.9,64566,64256.4,64341.2,8129.244
1785052800000,64341.3,64557.3,64320.2,64481.4,5451.789
1785067200000,64481.5,64819.3,64379.7,64733.6,14685.055
1785081600000,64733.5,64909,64634,64665.5,8330.401
1785096000000,64665.6,65555,64606.3,65375.1,22959.406
1785110400000,65375.2,65398.8,64872,65261.5,15835.857
1785124800000,65261.5,65722.5,65190,65195.9,16646.096
1785139200000,65196,65412.8,65061.1,65073.1,12104.408
1785153600000,65073.1,65689.6,64374.4,64517.1,52696.883
1785168000000,64517.2,65069.4,64479,64959.2,17239.433
1785182400000,64959.2,65030.8,63567,63720.8,33309.056
1785196800000,63720.7,63794.3,63021,63310.1,30321.786
1785211200000,63310,63642.2,63187.2,63476.8,17817.023
1785225600000,63476.8,63569,63263.5,63430.8,17704.568
1785240000000,63430.7,64014.2,62660.1,63899.4,46087.702
1785254400000,63899.5,64084.5,63477.2,63882.4,17230.992
1785268800000,63882.4,64047.9,63526,63903.6,15111.791
1785283200000,63903.6,64175,63630,63727,20893.234
1785297600000,63727,64544,63569.5,64539,22600.631
1785312000000,64539.1,64715.9,64251,64480,19217.032
1785326400000,64479.9,64688,63857.4,63940.2,30660.559
1785340800000,63940.2,64703.9,63483.9,63564.1,56370.126
1785355200000,63564,64108.4,63234,63958.9,30234.717
1785369600000,63958.9,64393,63576.4,64134,19263.395
1785384000000,64134,64156.4,63881,63981.9,10707.126
1785398400000,63981.9,64870,63950,64766.8,22143.473
1785412800000,64766.9,65157,64571.4,64694.2,37561.257
1785427200000,64694.2,64957.2,64657.4,64778.6,9665.986
1785441600000,64778.5,65062.9,64636.3,64750,13514.495
1785456000000,64750,65391.3,64138,64344,35138.633
1785470400000,64344,64476.8,63835.6,63909.1,21124.109
1785484800000,63909.1,63982.2,63577,63779.4,20536.673
1785499200000,63779.4,63807.5,62410.5,62695.4,67331.204
1785513600000,62695.3,63275.7,62680.1,62947.2,21608.292
1785528000000,62947.1,63037,62814.1,62859.9,9226.024
1785542400000,62859.9,63084.6,62859.8,62973.8,6513.744
1785556800000,62973.8,63118.7,62964.1,63019.6,5009.899
1785571200000,63019.6,63126.6,62956.5,63045.1,4669.724
1785585600000,63045.2,63097.5,62976.4,62976.4,3987.843
1785600000000,62976.4,63006.6,62228.8,62502.1,26037.185
1785614400000,62502.1,62844.9,62456.9,62792.3,8519.748
1785628800000,62792.3,63542,62782.3,63436.7,22119.756
1785643200000,63436.8,63620,63382.9,63468.1,10767.479
1785657600000,63468,63507.8,62961.1,63007.3,15698.43
1785672000000,63007.2,63215.1,62974.4,63081.6,8524.317
1785686400000,63081.6,63594.6,63038,63432.9,10931.715
1785700800000,63433,63779,63306.2,63550,15998.71
1785715200000,63550,63575.6,62745,62839.7,14923.666
1785729600000,62839.8,62976.8,62520,62591,17943.273
1785744000000,62591,62846.3,62268.2,62534.1,22976.883
1785758400000,62534.1,63960,62400,63659.5,60123.156
1785772800000,63659.5,64058.8,63626.2,63836.9,20815.435
1785787200000,63836.9,63992.9,63352.2,63497.2,15061.449
1785801600000,63497.1,63958.6,63290.2,63771,18605.621
1785816000000,63771,64239.8,63480,63666.5,19953.022
1785830400000,63666.5,63926,63428.8,63900.2,14201.869
1785844800000,63900.2,64200,63582.1,64088.4,35048.599
1785859200000,64088.3,64388,63856.4,64197.3,21295.609
1785873600000,64197.3,64512.9,63918.2,64075.5,20920.58
1785888000000,64075.6,64480,63917.1,64145.6,26385.509
1785902400000,64145.6,64500,63962.4,64141,16283.315
1785916800000,64141,64257.1,63982.2,64044.6,11496.742
1785931200000,64044.7,64728.5,63847,64353.6,51851.564
1785945600000,64353.6,64898,64352.5,64805.7,21144.927
1785960000000,64805.7,65022,64535.6,64633.9,17958.19
1785974400000,64634,64696,64386.3,64496.2,11750.306
1785988800000,64496.3,64971.7,64461.9,64789.4,14522.523
1786003200000,64789.3,64971,64473,64590.1,14068.606
1786017600000,64590.1,64962,64111,64604.2,37867.908
1786032000000,64604.2,64807.4,64323.2,64412.8,13223.353
1786046400000,64412.8,64510.7,64163.5,64300,7872.088
1786060800000,64299.9,64524.8,64195.2,64264,11976.24
1786075200000,64264,64441,64128.3,64288.9,11470.902
1786089600000,64288.8,65187.9,64268.9,64996.1,26927.143
1786104000000,64996.2,65358,64756.8,64885.4,46158.292
1786118400000,64885.5,65050,64490,64932.9,22059.668
1786132800000,64932.9,65078.7,64815.3,64885.4,5796.135
1786147200000,64885.5,65046.1,64784.3,65000,4575.794
1786161600000,65000,65040.1,64919.5,64936.3,3614.339
1786176000000,64936.3,65026.9,64920,64938.5,3010.788
1786190400000,64938.4,65163,64890.8,65049.3,6827.321
1786204800000,65049.4,65123.1,64986.2,65045.5,4354.408
1786219200000,65045.5,65059.1,64907.9,64928.5,4055.652
1786233600000,64928.6,64982.4,64700,64759,5943.453
1786248000000,64758.9,64835,64747.4,64793.6,3791.377
1786262400000,64793.7,64978,64759.2,64921.8,5708.404
1786276800000,64921.7,65279.9,64884.3,65207.7,11644.117
1786291200000,65207.8,65243.1,65147.2,65153.2,4282.764
1786305600000,65153.2,65482.7,64805.1,64867.8,16478.347
