timestamp,open,high,low,close,volume
1787343900000,77488.9,77490,77353.3,77456.8,242.653
1787344200000,77456.8,77500,77436.3,77487.5,336.673
1787344500000,77487.6,77499.9,77310.3,77360.3,390.827
1787344800000,77360.2,77488.7,77360.2,77439,273.044
1787345100000,77439,77460,77275.6,77399.3,324.095
1787345400000,77399.3,77517.4,77367.4,77455.1,327.599
1787345700000,77455.2,77480.1,77424.5,77480,202.178
1787346000000,77480,77480.1,77417.2,77445.5,203.254
1787346300000,77445.5,77455.9,77345.9,77403.1,238.228
1787346600000,77403.2,77786.8,77403.1,77650.3,1430.959
1787346900000,77650.2,77693.9,77560.3,77693.3,468.54
1787347200000,77693.3,78093.5,77549.4,78014.5,2185.247
1787347500000,78014.4,78185.5,77884.4,78074.2,1886.406
1787347800000,78074.1,78487.6,78074.1,78399.9,2430.031
1787348100000,78399.9,78443.6,77957.6,77995.3,1351.07
1787348400000,77995.3,78248,77945.2,78220.3,699.291
1787348700000,78220.2,78392.7,78192.4,78323.9,710.286
1787349000000,78323.8,78655,78240.6,78638.3,1684.292
1787349300000,78638.2,78666,78394,78491.5,914.644
1787349600000,78491.4,78517.3,78150,78371.7,1393.83
1787349900000,78371.6,78748.8,78304.4,78708.1,1496.056
1787350200000,78708,78740,78556,78740,1057.769
1787350500000,78739.9,78740,78436.1,78591.5,1128.875
1787350800000,78591.5,78685.3,78315.3,78511.2,1141.262
1787351100000,78511.3,78648.5,78436.9,78485.7,593.781
1787351400000,78485.8,78514.4,78061.6,78292.2,1604.11
1787351700000,78292.2,78504,78251.2,78433.3,467.401
1787352000000,78433.4,78561.7,78392.3,78491.7,356.673
1787352300000,78491.5,78491.5,78250,78267.3,528.932
1787352600000,78267.4,78612.6,78215.3,78525,702.381
1787352900000,78525.1,78565,78400,78436.8,371.873
1787353200000,78436.8,78444.7,78308.9,78351.8,727.492
1787353500000,78352,78530,78346.5,78501,527.475
1787353800000,78501,78600,78451.3,78520.1,417.946
1787354100000,78520,78690,78510.2,78618.2,664.838
1787354400000,78618.1,78705.8,78537.4,78659.7,583.536
1787354700000,78659.7,78676.8,78330.6,78383.8,789.729
1787355000000,78383.8,78489.6,78330.6,78369.2,379.484
1787355300000,78369.2,78404.9,78180,78204.3,662.073
1787355600000,78204.3,78372.2,78100,78353.4,672.516
1787355900000,78353.4,78383.7,78214.9,78239.7,247.045
1787356200000,78239.6,78335.7,78093.3,78287.9,499.931
1787356500000,78287.9,78347.6,78234,78309.1,252.247
1787356800000,78309.1,78486.6,78067,78153,936.337
1787357100000,78153.1,78155.1,77707.3,77862.9,2222.608
1787357400000,77862.9,77983.6,77779.4,77888.6,723.066
1787357700000,77888.6,78071.1,77833.1,78040.9,793.112
1787358000000,78040.9,78083.5,78010.8,78063.4,393.035
1787358300000,78063.4,78063.4,77866.2,77898.7,376.807
1787358600000,77898.7,78032.1,77849.8,77890.1,436.42
1787358900000,77890.1,77993.9,77882.4,77908,175.151
1787359200000,77908,77915.8,77728.1,77812,548.558
1787359500000,77812,77879.6,77649.7,77794.3,761.198
1787359800000,77794.3,77847.2,77731.4,77819.2,305.575
1787360100000,77819.3,77963.6,77810.5,77921.6,359.925
1787360400000,77921.6,78065,77879.6,78065,348.665
1787360700000,78065,78114.4,78037.3,78051.9,627.943
1787361000000,78052,78188,78050.1,78076.8,493.867
1787361300000,78076.9,78149.8,77956.2,77980.9,355.031
1787361600000,77980.9,77999.8,77862.6,77978,325.143
1787361900000,77978,78024.6,77946.3,77991.5,134.389
1787362200000,77991.5,78223.1,77991.4,78108.2,494.31
