timestamp,open,high,low,close,volume
1787343900000,2443.34,2446.76,2435.52,2444.56,30100.865
1787344200000,2444.56,2444.56,2436.65,2437.76,19796.019
1787344500000,2437.76,2441.61,2431.99,2433.13,12481.602
1787344800000,2433.13,2438.73,2433.12,2436.49,8107.914
1787345100000,2436.48,2436.73,2425.7,2433.39,18385.002
1787345400000,2433.38,2444.4,2432.76,2438.24,11983.679
1787345700000,2438.23,2440.68,2437.05,2440.07,5824.208
1787346000000,2440.07,2441,2438.28,2439.52,5862.541
1787346300000,2439.52,2439.66,2433.12,2435.86,6101.25
1787346600000,2435.87,2460.1,2435.05,2448.81,84013.01
1787346900000,2448.8,2456.44,2443.39,2455.87,24355.803
1787347200000,2455.86,2483.75,2448.05,2482.99,113025.008
1787347500000,2482.98,2490.59,2472.23,2479.62,76765.89
1787347800000,2479.62,2498.81,2476,2491.83,61509.719
1787348100000,2491.83,2494.34,2476.13,2477.3,38169.627
1787348400000,2477.3,2486.35,2476.01,2484.71,19205.666
1787348700000,2484.71,2495.78,2482.43,2490.26,27890.659
1787349000000,2490.25,2522.44,2486.16,2521.2,127964.231
1787349300000,2521.2,2523.89,2506.72,2513.52,68500.505
1787349600000,2513.5,2537,2507.29,2528.51,102056.314
1787349900000,2528.51,2549.4,2524.33,2542.85,96898.483
1787350200000,2542.85,2546.93,2531.29,2543.04,68411.172
1787350500000,2543.05,2545,2528.52,2542.77,81706.11
1787350800000,2542.76,2542.76,2530.51,2531.61,39115.995
1787351100000,2531.58,2536.66,2529.42,2534.15,25611.139
1787351400000,2534.15,2536.2,2511,2523.21,93821.028
1787351700000,2523.2,2534.63,2520.88,2530.32,30424.38
1787352000000,2530.35,2534.48,2527.15,2529.61,18177.855
1787352300000,2529.6,2529.6,2517.6,2519.12,30448.348
1787352600000,2519.11,2530,2513.18,2524.49,36015.251
1787352900000,2524.49,2527.83,2519.41,2522,13505.896
1787353200000,2521.99,2525.7,2515,2517.8,25429.542
1787353500000,2517.8,2523,2516.24,2519.78,21933.654
1787353800000,2519.78,2526.87,2519.44,2523.96,19101.729
